year,month,co2_concentration,ch4_concentration,co2e,decimal_year
2011,8,390.33,1.79907,435.30674999999997,2011.5833333333333
2011,9,389.28,1.80423,434.38575,2011.6666666666667
2011,10,389.19,1.80968,434.432,2011.75
2011,11,390.48,1.8123699999999998,435.78925000000004,2011.8333333333333
2011,12,392.06,1.8100399999999999,437.311,2011.9166666666667
2012,1,393.31,1.8074000000000001,438.495,2012.0
2012,2,394.04,1.80835,439.24875000000003,2012.0833333333333
2012,3,394.59,1.81006,439.8415,2012.1666666666667
2012,4,396.38,1.8085,441.5925,2012.25
2012,5,396.93,1.80478,442.0495,2012.3333333333333
2012,6,395.91,1.80099,440.93475,2012.4166666666667
2012,7,394.56,1.79937,439.54425,2012.5
2012,8,392.59,1.8033299999999999,437.67325,2012.5833333333333
2012,9,391.32,1.8101800000000001,436.5745,2012.6666666666667
2012,10,391.27,1.8148499999999999,436.64124999999996,2012.75
2012,11,393.2,1.81596,438.599,2012.8333333333333
2012,12,394.57,1.8145799999999999,439.9345,2012.9166666666667
2013,1,395.78,1.81405,441.13124999999997,2013.0
2013,2,397.03,1.81414,442.38349999999997,2013.0833333333333
2013,3,397.66,1.81326,442.99150000000003,2013.1666666666667
2013,4,398.64,1.81284,443.961,2013.25
2013,5,400.02,1.81194,445.3185,2013.3333333333333
2013,6,398.81,1.80857,444.02425,2013.4166666666667
2013,7,397.51,1.80597,442.65925,2013.5
2013,8,395.39,1.80854,440.6035,2013.5833333333333
2013,9,393.72,1.81424,439.076,2013.6666666666667
2013,10,393.9,1.81849,439.36224999999996,2013.75
2013,11,395.36,1.8203399999999998,440.86850000000004,2013.8333333333333
2013,12,397.03,1.81933,442.51324999999997,2013.9166666666667
2014,1,398.04,1.8168,443.46000000000004,2014.0
2014,2,398.27,1.81633,443.67825,2014.0833333333333
2014,3,399.91,1.81809,445.36225,2014.1666666666667
2014,4,401.51,1.82088,447.032,2014.25
2014,5,401.96,1.82189,447.50725,2014.3333333333333
2014,6,401.43,1.81828,446.887,2014.4166666666667
2014,7,399.27,1.81552,444.65799999999996,2014.5
2014,8,397.18,1.81971,442.67275,2014.5833333333333
2014,9,395.54,1.8268,441.21000000000004,2014.6666666666667
2014,10,396.16,1.83117,441.93925,2014.75
